Species,Covariate,Model_Type,DIC,Bayes_P,C_Hat,modname,correlation_GAM,nrmse_GAM,LOOIC,LOOIC_lower,LOOIC_upper,cov_name
Muntiacus,Avg_FLLI_3km,Linear,28802.38825873711,0.30575,0.9669953030697838,Muntiacus_Avg_FLLI_3km_Linear_2024-12-31_JMS,0.6073016056578944,122.6,8140.64102734562,7696.9765235619925,8584.305531129248,Forest Integrity
Muntiacus,Avg_FLLI_3km,Quadratic,6097.4681741777495,0.4785,0.9990620063843642,Muntiacus_Avg_FLLI_3km_Quadratic_2024-12-31_JMS,0.846791656447596,43.3,6742.778420442814,6479.32520769704,7006.231633188589,Forest Integrity
Muntiacus,Avg_FLLI_3km,Cubic,24518.214606042984,0.481875,0.9992024315987778,Muntiacus_Avg_FLLI_3km_Cubic_2024-12-31_JMS,0.7236517230706482,114.8,6681.334754783947,6420.137942920753,6942.531566647141,Forest Integrity
Muntiacus,Avg_human_footprint_3km,GAM,4924.631337820194,0.40675,0.9851483129598141,Muntiacus_Avg_human_footprint_3km_GAM_2024-12-31_JMS,NA,NA,6809.302679694844,6523.370120454922,7095.235238934767,Human Footprint
Muntiacus,Avg_human_footprint_3km,Linear,10964.22929858275,0.368125,0.9715323414855289,Muntiacus_Avg_human_footprint_3km_Linear_2024-12-31_JMS,0.990935247781164,16.5,6852.287113679004,6523.833897130835,7180.740330227172,Human Footprint
Muntiacus,Avg_human_footprint_3km,Quadratic,4402.680657202179,0.517125,1.0004928307201513,Muntiacus_Avg_human_footprint_3km_Quadratic_2024-12-31_JMS,0.9211815417498292,87,6852.710076608995,6550.680136191647,7154.740017026344,Human Footprint
Muntiacus,Avg_human_footprint_3km,Cubic,4443.998199036141,0.40175,0.9951094816287794,Muntiacus_Avg_human_footprint_3km_Cubic_2024-12-31_JMS,0.8635767920987772,126.6,6753.922196801836,6486.973865002847,7020.870528600826,Human Footprint
Muntiacus,Avg_forest_cover_3km,GAM,14245.428816394071,0.477875,0.9990600942602312,Muntiacus_Avg_forest_cover_3km_GAM_2024-12-31_JMS,NA,NA,6699.201264873796,6435.302421924689,6963.100107822904,Forest Cover
Muntiacus,Avg_forest_cover_3km,Linear,26520.683653727854,0.482625,0.9937461638536764,Muntiacus_Avg_forest_cover_3km_Linear_2024-12-31_JMS,0.9646996861272694,39.5,7534.4023844766325,7236.901317578796,7831.903451374469,Forest Cover
Muntiacus,Avg_forest_cover_3km,Quadratic,61953.106525009294,0.402375,0.9373237484407101,Muntiacus_Avg_forest_cover_3km_Quadratic_2024-12-31_JMS,0.9524385959679176,21.8,10728.947802405215,9739.053295877711,11718.842308932719,Forest Cover
Muntiacus,Avg_forest_cover_3km,Cubic,5433.097679703156,0.476625,0.9988760082588339,Muntiacus_Avg_forest_cover_3km_Cubic_2024-12-31_JMS,-0.5614114046842595,381.6,6738.330590898471,6472.809064228973,7003.85211756797,Forest Cover
